count,mean,std,min,25%,50%,75%,max
31.0,17.71290322580645,3.0753581835274484,12.1,15.65,17.2,19.7,25.0
28.0,17.678571428571427,2.9133609384475445,13.7,15.6,16.85,19.075,25.0
31.0,13.5,2.849444390286172,8.0,11.350000000000001,13.4,15.9,18.6
30.0,12.356666666666664,3.2273276372505038,7.4,9.9,12.25,14.625,18.1
31.0,9.490322580645161,3.130213500568258,2.1,8.3,10.5,11.65,14.0
30.0,7.306666666666667,2.8122801318911823,2.5,5.025,7.1,9.725000000000001,11.6
31.0,7.5774193548387085,2.029402157848357,3.2,6.4,7.4,8.95,12.0
31.0,7.2387096774193544,2.0640861447389316,3.0,5.85,7.0,8.35,12.5
30.0,10.143333333333334,2.472703857686175,6.3,7.85,10.4,11.35,16.9
31.0,10.087096774193547,2.48940982771471,5.6,8.350000000000001,10.2,12.1,14.3
30.0,11.890000000000002,2.3892503513402086,7.6,9.95,11.6,13.6,17.8
31.0,13.680645161290322,1.940346937163336,9.7,12.55,13.5,15.0,17.4
31.0,16.56774193548387,3.2555989819360116,12.5,14.1,15.8,18.2,25.2
28.0,15.921428571428569,3.521506111169664,10.4,13.575,14.95,17.05,26.3
31.0,14.93548387096774,3.588272415067059,9.0,12.85,14.3,17.2,22.2
30.0,11.469999999999999,3.016980678392406,6.9,9.15,11.55,12.975,19.5
31.0,9.583870967741936,2.967052046975645,3.7,7.55,9.1,11.850000000000001,15.2
30.0,5.606666666666667,2.690716265790302,0.0,3.325,6.85,7.5249999999999995,9.0
31.0,4.9193887945670625,2.0980001298196904,0.9,3.5,4.800526315789473,6.15,9.5
31.0,7.903225806451611,3.1451003026896442,2.2,5.55,8.2,9.6,14.2
30.0,7.28,2.6699347790045227,3.6,5.075,6.7,8.975,15.0
31.0,9.54516129032258,2.7229688099177607,4.7,7.95,9.4,10.649999999999999,15.1
30.0,12.48666666666667,2.7557755443023138,6.9,10.525,12.45,14.225,18.0
31.0,13.75483870967742,2.175597804386558,10.3,12.2,13.0,15.4,18.7
31.0,13.180645161290325,2.156296107501427,9.1,11.55,12.8,14.75,18.4
28.0,16.807142857142857,2.6478402899454117,12.8,14.475,16.8,18.35,22.5
31.0,15.777419354838708,3.6582062706030634,10.0,13.149999999999999,15.2,18.75,22.1
30.0,10.596666666666668,2.938623103959818,5.7,8.175,10.6,12.575,16.5
31.0,10.116129032258065,2.957600015124149,4.6,7.5,10.7,12.95,14.5
30.0,6.6000000000000005,2.5227243073777372,1.5,4.85,6.699999999999999,7.975,11.6
31.0,6.890322580645161,2.848432883617432,0.0,5.35,7.6,8.65,12.3
31.0,8.706451612903226,2.614438815994868,3.0,7.15,8.4,10.4,14.3
30.0,9.21,2.813679637671687,3.5,7.525,9.55,10.825,15.4
31.0,10.312903225806453,2.5943196841669134,5.8,8.600000000000001,10.0,12.4,16.2
30.0,11.993333333333332,3.1791273291129194,5.7,10.05,11.4,14.725000000000001,17.6
31.0,14.396774193548385,2.5856635345648695,10.9,12.149999999999999,13.9,15.700000000000001,20.4
31.0,14.309677419354841,2.6619986023925306,10.5,12.149999999999999,13.8,16.4,19.5
29.0,14.944827586206898,1.931244270799926,11.1,13.8,15.0,15.9,18.9
31.0,12.86774193548387,2.722913524979471,7.4,11.0,13.8,14.2,19.5
30.0,10.750000000000002,1.7099606771038274,6.5,9.7,10.55,12.3,13.7
31.0,8.112903225806452,2.7260156438147196,3.3,6.2,8.5,9.5,14.7
30.0,7.73,2.5628849584686453,2.2,5.975,8.149999999999999,9.375,12.4
31.0,6.173307337823466,2.751333923824424,0.7,4.6,7.0,8.0,10.6
31.0,8.696774193548388,1.7428872350150753,5.2,7.800000000000001,8.5,9.600000000000001,11.7
30.0,8.046666666666665,2.1779036635756164,4.2,6.225,8.25,9.475,11.7
31.0,10.632258064516131,3.2649029691323848,4.8,8.6,9.9,12.35,18.2
30.0,12.623333333333335,3.333392528210027,7.6,11.025,11.95,13.899999999999999,24.3
30.0,12.643333333333336,1.9932097374514464,9.1,11.4,12.35,13.0,16.8
31.0,14.219354838709675,1.896034344773095,11.0,12.95,14.4,15.2,19.7
28.0,14.032142857142858,2.387010150861839,10.2,12.8,14.100000000000001,15.375,19.0
31.0,15.877419354838711,3.2465068075722403,9.8,13.55,16.2,17.799999999999997,22.4
30.0,12.976666666666667,4.19167346495187,6.3,9.350000000000001,11.95,16.2,21.8
31.0,9.419354838709678,2.6778622512293535,4.5,7.55,9.5,11.1,15.4
30.0,7.073333333333333,2.3891902153360394,0.6,6.0,7.199999999999999,8.375,10.6
31.0,6.135483870967741,2.9254684396516484,0.3,4.45,6.2,7.75,11.6
31.0,7.635483870967742,2.293112642544594,3.6,6.0,7.5,9.5,11.4
30.0,8.803333333333333,2.1264319043125175,4.8,7.275,8.45,10.200000000000001,13.1
31.0,10.49032258064516,2.958079877072251,6.1,8.2,10.2,12.3,16.2
30.0,13.073333333333332,2.8658432391295183,7.4,11.225,13.2,15.075000000000001,21.0
31.0,14.109677419354838,1.7209212336632718,10.8,13.149999999999999,13.7,15.1,18.2
31.0,13.825806451612904,1.535136854254474,10.6,12.7,13.8,15.2,17.4
28.0,14.19642857142857,2.539244877963634,10.7,12.375,14.1,14.850000000000001,21.4
31.0,14.690322580645162,2.619968808810476,8.6,12.7,15.2,16.6,20.0
30.0,11.653333333333332,2.851101823715772,6.9,10.225,11.7,12.625,19.7
31.0,10.274193548387094,1.6996014713132968,6.3,9.55,10.4,11.2,13.4
30.0,7.526666666666667,2.43082692519025,0.8,5.775,7.3,9.575,11.6
31.0,6.961290322580646,2.5023558792139378,2.1,5.1,7.0,9.0,11.4
31.0,7.387096774193547,2.8483611586880238,1.7,5.5,7.7,9.350000000000001,12.4
30.0,8.933333333333335,2.044392386476984,5.5,6.9,9.05,10.825,12.5
31.0,9.683870967741935,2.74117940239763,5.2,7.55,9.0,11.5,16.2
30.0,11.793333333333335,2.9460591249695063,7.5,9.85,11.1,12.75,21.0
31.0,12.93548387096774,2.659391958963148,8.5,11.0,12.4,14.55,20.2
31.0,13.23548387096774,1.985539118576577,8.5,11.9,12.9,14.95,16.8
28.0,13.88928571428571,2.639632309651996,9.5,11.975,13.350000000000001,15.7,21.0
31.0,12.619354838709679,2.4249287762514746,9.5,10.8,12.3,13.350000000000001,18.7
30.0,12.250000000000002,3.442107413820182,7.1,9.799999999999999,11.8,14.075,20.2
31.0,9.806451612903228,2.532052590800721,4.3,8.05,9.9,11.5,16.5
30.0,8.273333333333333,2.517104704209585,3.0,6.3,8.7,9.674999999999999,13.0
31.0,5.983870967741937,2.1407314597575517,1.5,4.550000000000001,5.8,7.5,9.4
31.0,8.02258064516129,2.0721502000610146,4.2,6.55,8.6,9.5,11.8
30.0,9.81,3.6590322820903496,4.8,7.375,9.25,11.075,19.2
31.0,10.238709677419354,2.1911454263854537,4.9,9.25,10.1,11.350000000000001,14.5
30.0,13.15,3.7359160811663368,8.7,10.8,12.0,14.05,24.1
31.0,13.254838709677419,2.5463488514181005,8.2,11.350000000000001,12.7,14.8,20.5
31.0,16.493548387096773,2.991425020941353,11.6,14.45,15.6,17.950000000000003,23.4
29.0,14.524137931034483,1.8058743771397423,9.2,13.5,14.8,16.2,18.4
31.0,14.748387096774193,1.8442470853516229,10.0,13.8,14.9,16.15,18.2
30.0,12.833333333333332,2.844999646486049,6.6,11.025,13.15,15.075,17.6
31.0,11.387096774193548,2.685112280145701,6.3,9.350000000000001,11.2,13.35,16.4
30.0,8.386666666666667,2.34972240962605,2.8,6.725,8.45,10.0,12.6
31.0,8.232258064516127,2.134070773080436,4.9,6.9,8.3,9.4,13.0
31.0,8.725806451612902,2.1736248897384116,3.9,7.300000000000001,8.8,10.0,12.4
30.0,9.883333333333333,3.134577278141931,4.7,8.25,10.0,11.4,16.6
31.0,10.890322580645162,2.6718726065825917,5.6,8.7,11.3,12.75,15.6
30.0,12.253333333333332,2.5930588159524084,7.2,10.799999999999999,11.9,13.575,17.5
30.0,15.436666666666667,3.2132788424816523,9.5,12.925,15.05,17.175,23.9
31.0,15.180645161290323,2.6180679078076783,9.5,13.25,15.2,16.700000000000003,20.6
28.0,16.37142857142857,2.033944742841166,13.0,15.149999999999999,16.1,17.85,20.5
31.0,15.803225806451612,3.7346560636795583,9.4,12.7,16.5,18.6,22.0
30.0,12.563333333333333,2.510183855518505,8.3,10.925,13.05,14.149999999999999,19.2
31.0,10.725806451612904,2.2421667707726356,5.2,9.5,10.7,12.0,14.6
30.0,6.5600000000000005,3.2011420375902704,0.5,4.55,7.5,8.975,11.2
31.0,6.332258064516128,2.2981713160357438,1.6,5.3,6.9,7.65,11.2
31.0,6.770967741935484,1.5773804335854,3.7,5.8,7.0,7.699999999999999,10.5
30.0,8.486666666666668,2.1916350900220802,5.0,7.2,8.45,9.149999999999999,13.4
31.0,9.867741935483872,2.103867406591045,5.1,8.5,9.7,11.1,13.5
30.0,12.876666666666663,3.0091450651287164,8.1,11.075,12.7,14.3,21.6
31.0,13.951612903225804,2.3079386138199802,10.4,12.25,13.3,16.1,18.7
31.0,15.577419354838709,2.3487173346913353,10.7,14.4,15.0,16.65,22.1
28.0,15.417857142857144,2.0848756196009273,12.0,13.925,15.399999999999999,16.625,20.0
31.0,14.83548387096774,3.069695792430337,9.2,12.3,15.0,17.25,20.6
30.0,13.433333333333332,2.5674800920335303,8.9,11.274999999999999,13.75,15.1,18.5
31.0,9.748387096774195,3.1405807284366944,4.5,7.1,9.8,12.45,16.0
30.0,7.72,1.8824781905591985,3.7,6.45,7.85,8.95,11.4
31.0,8.183870967741935,1.936336192261655,4.4,7.05,8.1,9.649999999999999,11.2
31.0,7.825806451612904,1.7439357293079898,2.1,6.85,7.8,8.6,11.6
30.0,9.166666666666666,3.2788069038361614,3.0,7.225,9.7,10.475,16.3
31.0,11.345161290322581,2.81280864495228,6.0,9.8,10.9,13.45,18.4
30.0,12.656666666666665,2.612791258581431,8.3,11.1,12.649999999999999,14.4,19.2
31.0,14.36774193548387,2.5016510676983166,10.0,13.149999999999999,13.9,15.45,20.5
